Tweet,Fallacy Evaluation
"@ALPLPC At this point, it was likely both. I’ve lost track of all the rewriters of history and common sense!","No, this message does not contain a False Dilemma fallacy. The speaker is expressing a concern about the rewriting of history and common sense, which is not presenting two exclusive options as the only possibilities. Instead, it seems to be a critique of a situation where multiple perspectives or interpretations might be at play."
"@Cycle4 All of them trying to tie Clinton/Lewinsky to this moment forget that Lewinsky was the instigator, and that Bills problem was an inability to say No, not that he was hitting on women","No, the message does not contain a False Dilemma fallacy. The message is discussing the issue of Bill Clinton's behavior and Monica Lewinsky's role in a specific context. It does not present two options as the only possibilities, but rather provides a perspective on the situation. The message is critical of the oversimplification of the issue and highlights the complexity of the situation, which is the opposite of a False Dilemma fallacy."
"@Cycle4 Plus it was a real relationship, ongoing for months with gifts exchanged etc, she was only an intern for the first 8 days of their relationship so should be called WH Staffer &amp; so on &amp; so on","**No**, the message does not contain a False Dilemma fallacy. The statement is discussing the nature of a relationship and the roles of the individuals involved. It does not present two exclusive options as the only possibilities. Instead, it provides context about the duration of the internship and the progression of the relationship, which is not a dichotomy but rather a sequence of events."
@Cycle4 Its criminal how so many on the supposed left have swallowed and regurgitate discredited GOP Talking Points &amp; language of that time,"**No** - The message does not present a False Dilemma fallacy. It criticizes individuals on the supposed left for repeating discredited talking points from the GOP, but it does not limit the options to only two possibilities. The message implies there are other perspectives or options available, which is not confined to a binary choice."
"@ALPLPC I agree. I’m old enough to have been there, and watching the rewrite has been a nightmare. I know Joe Conason tried valiantly to educate those saying stupid stuff, but I think they stuck their fingers in their ears.","No, this message does not contain a False Dilemma fallacy. The speaker is expressing a personal opinion about the situation and the efforts of Joe Conason. There is no indication that the speaker is presenting two exclusive options as the only possibilities. The message is more of a critique and a personal viewpoint rather than a logical argument structured around a false dichotomy."
"@Cycle4 The Hunting of the President was one of the most important books in forming my political (not policy) views.  The media has a lot to answer for, their failures during Whitewater directly gave us W and laid the groundwork for Trump","No, this message does not contain a False Dilemma fallacy. The statement is expressing a personal opinion about the influence of a book on the speaker's political views and criticizing the media's role in political events. It does not present two options as the only possibilities, which is the defining characteristic of a False Dilemma fallacy."
"@Cycle4 And the GOP still has never paid a price, in fact they have been rewarded for their dishonest &amp; destructive politics, its why I supported HRC in 08 with all his feelgood 'no blue or red States' stuff","**No** - The message does not present a False Dilemma fallacy. The speaker is expressing their personal political opinion and reasoning behind their support for HRC in 2008, criticizing the GOP's actions and policies. They do not limit the options to only two possibilities, but rather provide a critique of a political situation. The argument presented is not structured as a dichotomy where only two alternatives are presented as the only possible outcomes."
"@ALPLPC I am ready for them to pay a price. I never thought 20 years later they would have widened their destructive path, and yet, here we are. It’s time for the pendulum to swing, and for Dems to swing back.","**No** - The message does not present a False Dilemma fallacy. The speaker is expressing a viewpoint that they believe change is needed and that the political pendulum should swing back, but they do not limit the options to only two extremes. They acknowledge a situation has occurred (destructive path widened) and suggest a response (pendulum swing), without implying that there are only two possible outcomes or actions."
"@Cycle4 It needs to happen at the ballot box, they need to be electorally rejected on a massive scale repeatedly until they change, but a both-siderist balance matters more than truth media make that unlikely","**No** - The message does not present a False Dilemma fallacy. It suggests that electoral rejection of certain policies or individuals is necessary for change and implies that a balance between both sides is important. It does not limit the options to only two extremes (e.g., ""either reject them or accept a one-sided approach""), but rather advocates for a more nuanced approach that considers multiple perspectives."
"@Cycle4 Obviously I say all this in full appreciation of the fact I'm not telling u anything u don't already know, just wish more ppl knew it","No, the message does not contain a False Dilemma fallacy. The speaker is not presenting two exclusive options as the only possibilities. Instead, they are expressing a sentiment that more people should be aware of certain information, without suggesting that there are only two possible outcomes or choices related to that information."
"@ALPLPC Oh, I know! It’s good to get it out- maybe someone who doesn’t know will see it and it can spark something.","No, this message does not contain a False Dilemma fallacy. The statement is expressing a viewpoint that sharing information could potentially lead to awareness and inspire action. It does not present two exclusive options as the only possibilities, but rather suggests a positive outcome from sharing information."
@Cycle4 I would like that to be the case but twitter is so siloed now that you're always preaching to the choir. 1 good thing with this time is I now follow lots of never-Trump conservatives and their non-Trump policy tweets get me to confront different views,"**No** - The message does not contain a False Dilemma fallacy. The speaker is expressing a concern about Twitter's echo chamber effect and the ability to follow diverse viewpoints, particularly non-Trump conservatives. There is no indication that the speaker is presenting two options as the only possibilities when more alternatives may exist. Instead, the speaker is discussing the diversity of opinions on a platform and the value of engaging with different perspectives."
"@ALPLPC Same. I agree with Bill Kristol frequently now, and it makes me think. Which is a good thing, but also confusing. 😂😂","No, this message does not contain a False Dilemma fallacy. The speaker is expressing their agreement with Bill Kristol and acknowledging that it has led to some confusion. There is no indication that they are presenting two options as the only possibilities when more alternatives may exist. The message is more about personal opinion and confusion rather than a logical argument with a false dichotomy."
"@Cycle4 Yeah, I've managed to avoid agreeing with Kristol, Mostly anyway... but Frum and scarily the old neo-cons sometimes (more often than I like tbh) say non-Trump related things I agree with which is really off-putting","**No**, the message does not contain a False Dilemma fallacy. The speaker is expressing their personal experience of disagreeing with Kristol and finding some agreement with Frum and neo-cons on non-Trump related issues. There is no indication that these viewpoints are being presented as the only two options available. The speaker acknowledges a range of perspectives and does not simplify the situation into a binary choice."
"@Cycle4 mind you I have never been a 'blame the west' lefty anyway, I've always thought that despite all its faults… https://t.co/zST5OjWKAY","**No** - The message does not contain a False Dilemma fallacy. The speaker is expressing their personal viewpoint on a political issue, stating that they have never been a 'blame the west' lefty and acknowledging that despite its faults, there is more to consider. They are not presenting two options as the only possibilities, but rather sharing their perspective on a complex issue."
